iter	Passed	Remaining
177	414	1913
178	415	1905
179	416	1896
180	417	1888
181	418	1880
182	419	1873
183	420	1864
184	421	1856
185	422	1847
186	423	1839
187	424	1831
188	425	1823
189	425	1816
190	426	1808
191	427	1800
192	428	1792
193	429	1785
194	430	1777
195	431	1770
196	432	1762
197	433	1755
198	434	1749
199	435	1741
200	436	1734
201	437	1727
202	438	1720
203	438	1712
204	439	1705
205	440	1698
206	441	1691
207	442	1684
208	443	1677
209	444	1670
210	445	1664
211	446	1658
212	447	1651
213	447	1645
214	449	1640
215	450	1634
216	451	1627
217	452	1621
218	452	1615
219	453	1608
220	454	1602
221	455	1596
222	456	1591
223	457	1585
224	458	1579
225	459	1573
226	460	1568
227	461	1562
228	462	1556
229	463	1550
230	464	1546
231	465	1540
232	466	1535
233	467	1529
234	468	1524
235	469	1519
236	470	1513
237	471	1508
238	471	1502
239	472	1497
240	473	1492
241	474	1486
242	475	1481
243	476	1476
244	477	1471
245	478	1466
246	479	1462
247	480	1457
248	481	1452
249	482	1447
250	483	1442
251	484	1437
252	485	1432
253	486	1427
254	487	1422
255	487	1417
256	489	1414
257	490	1409
258	491	1405
259	492	1400
260	493	1396
261	494	1393
262	495	1388
263	496	1384
264	497	1379
265	498	1375
266	499	1370
267	500	1366
268	501	1361
269	502	1357
270	503	1353
271	504	1348
272	504	1344
273	505	1340
274	506	1335
275	507	1331
276	508	1327
277	510	1324
278	510	1320
279	511	1316
280	512	1312
281	513	1307
282	514	1303
283	515	1299
284	516	1295
285	517	1291
286	518	1287
287	519	1283
288	520	1279
289	521	1275
290	522	1271
291	522	1268
292	524	1264
293	525	1261
294	526	1257
295	527	1253
296	527	1249
297	528	1245
298	529	1241
299	530	1238
300	531	1234
301	532	1230
302	533	1227
303	534	1223
304	535	1219
305	536	1216
306	537	1212
307	538	1208
308	539	1205
309	540	1202
310	541	1198
311	541	1195
312	543	1191
313	543	1188
314	544	1184
315	545	1181
316	546	1177
317	547	1174
318	548	1171
319	549	1168
320	550	1164
321	551	1161
322	552	1158
323	553	1154
324	554	1152
325	555	1149
326	556	1146
327	557	1143
328	558	1139
329	559	1136
330	560	1133
331	561	1130
332	562	1126
333	563	1123
334	564	1120
335	565	1117
336	566	1114
337	567	1110
338	568	1107
339	569	1105
340	570	1102
341	571	1099
342	572	1096
343	573	1093
344	574	1090
345	575	1087
346	576	1084
347	577	1081
348	578	1078
349	579	1075
350	580	1072
351	581	1069
352	582	1066
353	583	1064
354	584	1061
355	585	1059
356	586	1056
357	587	1053
358	588	1051
359	590	1048
360	591	1046
361	592	1043
362	593	1041
363	594	1038
364	595	1035
365	596	1033
366	597	1030
367	598	1028
368	600	1026
369	601	1023
370	602	1020
371	603	1018
372	604	1015
373	605	1012
374	605	1009
375	607	1007
376	607	1004
377	608	1001
378	609	999
379	610	996
380	611	993
381	612	990
382	613	988
383	615	986
384	616	984
385	617	982
386	618	979
387	619	977
388	620	974
389	621	971
390	622	969
391	623	966
392	624	963
393	625	961
394	625	958
395	626	956
396	627	953
397	628	950
398	630	948
399	630	946
400	632	944
401	633	941
402	634	939
403	635	936
404	636	934
405	637	932
406	638	929
407	638	927
408	639	924
409	640	922
410	641	919
411	642	917
412	643	915
413	645	913
414	646	910
415	647	908
416	648	906
417	649	903
418	650	901
419	650	898
420	651	896
421	652	894
422	653	891
423	654	889
424	655	887
425	656	884
426	657	882
427	658	880
428	660	878
429	661	876
430	662	874
431	663	872
432	664	869
433	665	867
434	666	865
435	667	862
436	668	860
437	669	858
438	669	856
439	670	853
440	671	851
441	672	849
442	673	847
443	674	845
444	675	842
445	676	840
446	677	838
447	678	836
448	679	834
449	680	831
450	681	829
451	682	827
452	683	825
453	684	823
454	685	820
455	686	818
456	687	816
457	688	814
458	689	812
459	690	810
460	691	808
461	692	806
462	693	804
463	694	802
464	695	799
465	696	797
466	696	795
467	697	793
468	698	791
469	699	788
470	700	786
471	701	784
472	702	782
473	703	780
474	704	778
475	705	776
476	706	774
477	707	772
478	708	770
479	709	768
480	710	766
481	711	764
482	711	762
483	712	759
484	713	757
485	714	755
486	715	753
487	716	751
488	717	749
489	718	747
490	719	745
491	720	744
492	721	742
493	722	740
494	723	738
495	724	736
496	725	734
497	726	732
498	727	730
499	728	728
500	729	726
501	730	724
502	731	722
503	732	720
504	733	718
505	734	717
506	735	715
507	736	713
508	737	711
509	738	709
510	739	707
511	740	705
512	741	703
513	742	702
514	743	700
515	744	698
516	745	696
517	746	694
518	747	692
519	748	690
520	749	689
521	750	687
522	751	685
523	752	683
524	753	681
525	754	679
526	755	678
527	756	676
528	757	674
529	758	672
530	759	670
531	760	668
532	761	667
533	762	665
534	763	663
535	764	661
536	765	660
537	766	658
538	767	656
539	768	654
540	769	652
541	770	651
542	771	649
543	772	647
544	773	645
545	774	643
546	775	642
547	776	640
548	777	638
549	778	636
550	779	635
551	780	633
552	781	631
553	782	629
554	783	628
555	784	626
556	785	624
557	786	622
558	787	621
559	788	619
560	789	617
561	790	615
562	790	613
563	791	612
564	792	610
565	793	608
566	795	607
567	796	605
568	797	603
569	798	602
570	799	600
571	800	598
572	801	597
573	802	595
574	803	593
575	804	591
576	805	590
577	806	588
578	807	586
579	808	585
580	808	583
581	810	581
582	811	580
583	812	578
584	813	576
585	814	575
586	814	573
587	815	571
588	816	569
589	817	568
590	818	566
591	819	564
592	820	563
593	821	561
594	822	559
595	823	558
596	824	556
597	825	555
598	826	553
599	827	551
600	828	550
601	829	548
602	830	546
603	831	545
604	832	543
605	833	541
606	834	540
607	835	538
608	836	536
609	837	535
610	837	533
611	839	531
612	840	530
613	841	528
614	842	527
615	843	525
616	844	523
617	844	522
618	845	520
619	846	518
620	847	517
621	848	515
622	849	514
623	850	512
624	851	511
625	852	509
626	853	507
627	854	506
628	855	504
629	856	503
630	857	501
631	858	499
632	859	498
633	860	496
634	861	495
635	862	493
636	863	492
637	864	490
638	865	488
639	866	487
640	867	485
641	868	484
642	869	482
643	870	481
644	871	479
645	872	478
646	873	476
647	874	474
648	875	473
649	876	471
650	877	470
651	877	468
652	879	467
653	879	465
654	880	463
655	881	462
656	882	460
657	883	459
658	885	457
659	886	456
660	887	454
661	887	453
662	888	451
663	889	450
664	890	448
665	891	447
666	892	445
667	893	444
668	894	442
669	895	441
670	896	439
671	897	438
672	898	436
673	899	435
674	900	433
675	901	432
676	902	430
677	903	429
678	904	427
679	905	426
680	906	424
681	907	423
682	908	421
683	909	420
684	910	418
685	911	417
686	912	415
687	914	414
688	915	413
689	916	411
690	917	410
691	918	408
692	919	407
693	920	405
694	921	404
695	922	402
696	923	401
697	924	399
698	925	398
699	926	396
700	927	395
701	928	394
702	929	392
703	930	391
704	931	389
705	932	388
706	933	386
707	934	385
708	935	383
709	936	382
710	937	381
711	938	379
712	939	378
713	940	376
714	941	375
715	941	373
716	942	372
717	943	370
718	945	369
719	946	368
720	947	366
721	948	365
722	949	363
723	950	362
724	951	360
725	952	359
726	953	357
727	954	356
728	955	355
729	956	353
730	957	352
731	958	350
732	959	349
733	960	348
734	961	346
735	962	345
736	963	343
737	964	342
738	965	341
739	966	339
740	967	338
741	968	336
742	969	335
743	970	333
744	971	332
745	972	330
746	973	329
747	974	328
748	975	326
749	976	325
750	977	324
751	978	322
752	979	321
753	980	319
754	981	318
755	982	316
756	982	315
757	983	314
758	984	312
759	985	311
760	986	309
761	987	308
762	988	307
763	989	305
764	991	304
765	991	303
766	992	301
767	993	300
768	994	298
769	995	297
770	996	296
771	997	294
772	998	293
773	999	291
774	1000	290
775	1001	289
776	1002	287
777	1003	286
778	1004	285
779	1006	283
780	1007	282
781	1008	281
782	1009	279
783	1010	278
784	1011	276
785	1012	275
786	1013	274
787	1013	272
788	1014	271
789	1015	270
790	1016	268
791	1017	267
792	1018	265
793	1019	264
794	1021	263
795	1022	261
796	1023	260
797	1024	259
798	1025	257
799	1026	256
800	1026	255
801	1027	253
802	1028	252
803	1029	251
804	1030	249
805	1031	248
806	1032	246
807	1033	245
808	1034	244
809	1036	243
810	1037	241
811	1038	240
812	1039	239
813	1040	237
814	1041	236
815	1042	235
816	1043	233
817	1044	232
818	1045	230
819	1045	229
820	1046	228
821	1047	226
822	1048	225
823	1049	224
824	1051	222
825	1052	221
826	1053	220
827	1054	218
828	1055	217
829	1056	216
830	1056	214
831	1057	213
832	1058	212
833	1059	210
834	1060	209
835	1061	208
836	1063	207
837	1064	205
838	1065	204
839	1066	203
840	1067	201
841	1069	200
842	1070	199
843	1071	198
844	1072	196
845	1073	195
846	1074	194
847	1075	192
848	1076	191
849	1077	190
850	1078	188
851	1079	187
852	1080	186
853	1081	184
854	1082	183
855	1083	182
856	1084	180
857	1085	179
858	1086	178
859	1087	177
860	1088	175
861	1089	174
862	1090	173
863	1091	171
864	1092	170
865	1093	169
866	1094	167
867	1095	166
868	1096	165
869	1097	164
870	1099	162
871	1100	161
872	1101	160
873	1102	158
874	1103	157
875	1104	156
876	1104	154
877	1106	153
878	1107	152
879	1108	151
880	1109	149
881	1111	148
882	1112	147
883	1113	146
884	1114	144
885	1115	143
886	1116	142
887	1117	140
888	1118	139
889	1119	138
890	1120	137
891	1121	135
892	1122	134
893	1122	133
894	1123	131
895	1124	130
896	1126	129
897	1127	128
898	1128	126
899	1129	125
900	1130	124
901	1131	122
902	1132	121
903	1133	120
904	1134	119
905	1135	117
906	1137	116
907	1138	115
908	1139	114
909	1140	112
910	1141	111
911	1142	110
912	1143	108
913	1144	107
914	1145	106
915	1146	105
916	1147	103
917	1148	102
918	1149	101
919	1150	100
920	1151	98
921	1152	97
922	1153	96
923	1154	94
924	1155	93
925	1156	92
926	1157	91
927	1158	89
928	1159	88
929	1160	87
930	1161	86
931	1162	84
932	1163	83
933	1164	82
934	1165	81
935	1166	79
936	1167	78
937	1168	77
938	1169	75
939	1171	74
940	1172	73
941	1173	72
942	1173	70
943	1174	69
944	1175	68
945	1176	67
946	1177	65
947	1178	64
948	1179	63
949	1181	62
950	1182	60
951	1183	59
952	1183	58
953	1185	57
954	1186	55
955	1187	54
956	1188	53
957	1189	52
958	1190	50
959	1191	49
960	1192	48
961	1192	47
962	1194	45
963	1194	44
964	1195	43
965	1197	42
966	1198	40
967	1199	39
968	1200	38
969	1201	37
970	1202	35
971	1202	34
972	1203	33
973	1204	32
974	1206	30
975	1207	29
976	1208	28
977	1208	27
978	1209	25
979	1210	24
980	1211	23
981	1212	22
982	1213	20
983	1214	19
984	1216	18
985	1217	17
986	1218	16
987	1219	14
988	1219	13
989	1220	12
990	1221	11
991	1222	9
992	1223	8
993	1224	7
994	1225	6
995	1226	4
996	1227	3
997	1228	2
998	1229	1
999	1230	0
